习近平参观俄罗斯国防部,data/img/10888.jpg,10888
习近平会见俄罗斯国家杜马主席,data/img/10889.jpg,10889
习近平会见俄罗斯联邦委员会主席,data/img/10890.jpg,10890
习近平出席中共六大纪念馆建馆启动仪式,data/img/10891.jpg,10891
习近平会见俄罗斯汉学家 学习汉语的学生和媒体代表,data/img/10892.jpg,10892
习近平抵达达累斯萨拉姆 开始对坦桑尼亚进行国事访问,data/img/11005.jpg,11005
习近平同坦桑尼亚总统举行会谈,data/img/11006.jpg,11006
习近平分别会见 桑给巴尔总统和坦桑尼亚前总统,data/img/11007.jpg,11007
习近平在坦桑尼亚尼雷尔国际会议中心发表演讲 中非永远做可靠朋友和真诚伙伴,data/img/11008.jpg,11008
习近平结束对俄罗斯的访问,data/img/11009.jpg,11009
外国媒体关注习近平访俄,data/img/11010.jpg,11010
国家主席习近平将出席 博鳌亚洲论坛2013年年会,data/img/11011.jpg,11011
一些外国领导人应邀来华 进行国事和正式访问,data/img/11012.jpg,11012
李克强会见基辛格,data/img/11013.jpg,11013
张德江会见阿联酋联邦国民议会议长,data/img/11014.jpg,11014
张高丽会见美国客人,data/img/11015.jpg,11015
中国梦：真抓实干 让梦想成真,data/img/11016.jpg,11016
人民日报评论员文章：和世界共发展 与世界同分享 —六论同心共筑中国梦,data/img/11017.jpg,11017
苏州：集聚研发 创新咬定“一招鲜”,data/img/11018.jpg,11018
习近平抵达达累斯萨拉姆开始对坦桑尼亚进行国事访问,data/img/11021.jpg,11021
